,Filename,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,Speaker_Rate,speaker_boring,speaker_lively,speaker_persuasive,speaker_reasonable,speaker_trustworthy,speaker_logical,rater_feel_topic,know_speakers,speaker_trusted_by_partner
17,M,0.707097525,-0.462135134,0.722744725,-0.280202183,0.115008371,-0.413808925,-0.064331835,0.051545021,0.245681252,-0.046691,-0.367882919,-0.213037058,-0.343900614,-0.139052964,-1.239187787,0.909701503,0.493545912,2,4,3,4,4,4,2,1,2
18,N,1.353804005,-0.54928521,0.792008257,-1.186060732,-0.277946307,-1.155983462,-0.561336567,0.328181713,0.032161042,1.078914584,0.775476385,-0.128035444,0.434812719,-0.064615849,0.237205544,0.597970368,0.574142135,3,3,4,4,4,4,4,1,1
19,O,1.397205936,0.037274641,0.811314168,-0.007046827,0.013475972,-0.008337779,-0.461605493,-0.441977655,0.09096364,1.162235017,0.635215469,-0.119532111,0.170060747,-1.247982904,-1.078121856,0.818853739,-0.026878304,4,2,3,4,4,4,4,1,1
20,P,-0.692788402,0.152075415,-0.718923932,1.213707474,0.184348583,1.660458662,0.041378513,1.292863842,0.255323658,-0.759723694,0.093591391,-0.186934867,0.632769906,-0.385226652,0.497603571,-0.20881999,-0.604619421,2,4,3,3,3,3,4,1,2
21,Q,0.645652637,-0.473841961,0.792428862,-0.794458795,0.702179962,-1.043338191,0.334271268,-0.162347839,0.389047102,0.550381423,0.744846654,-0.304537276,0.76864522,-0.065287495,0.834712804,-0.527538643,0.160994646,2,4,4,4,4,4,4,1,1
22,T,-0.648653288,-0.418305946,-1.885016497,-0.880688276,-1.20018367,-0.613554844,-0.843000291,-0.027549552,0.242552911,-1.067402482,-0.799691586,-0.285282817,-0.629576377,-0.108856985,-1.283359697,0.885613293,0.885097419,2,3,3,5,5,5,4,1,2
23,V,0.597454301,-0.473145845,0.251374159,-1.436494521,-0.766147196,-1.243404091,-0.845067657,-0.132421002,-3.867674823,-1.698319492,-2.173053201,4.707358445,-1.740993314,0.564019356,-0.882440584,1.42157001,-0.529534529,5,2,3,5,5,5,3,1,2
24,W,0.948115515,-0.501215636,0.802859317,-1.3316981,0.649093975,-1.535213128,-0.643431074,-1.921672021,0.185298403,-0.774945832,-1.752107408,-0.081826325,-2.308530616,0.312204371,-0.808595865,1.088850742,-1.592288178,2,4,4,4,2,2,2,1,3
25,X,-0.160142262,-0.497707812,-1.490664393,-1.164181538,-1.25446989,-0.943160174,-1.068033675,-0.23018266,0.237552173,-1.052654236,-1.0500968,-0.284600618,-0.531922954,-0.10180766,0.355093398,-0.85637906,0.7600854,2,4,3,4,3,4,3,1,3
26,Y,5.335006625,-0.864901655,0.907668135,-0.383427679,0.239750551,-0.526974538,-0.148917918,-0.171932768,0.220292785,1.224833815,0.84118348,-0.157187909,0.541157182,-0.601944387,0.8771642,-0.797791859,0.529444331,4,2,2,3,3,3,2,1,2
27,Z,-0.606351895,-0.353126654,-0.570846246,0.533643873,0.240646455,0.242549487,0.804852938,-0.301052902,0.418568149,1.016690517,0.377224035,-0.288303448,0.069446307,0.903191277,1.862249975,-0.086879542,0.793471122,3,3,3,4,3,4,3,1,2
28,AA,0.575904623,-0.238599497,0.743067665,-0.675149261,1.538436157,-1.32524336,0.585975981,-0.6394951,0.281350534,0.440409454,-0.118469475,-0.220091737,-0.278467612,0.250242527,0.647779536,0.052020723,-0.061070613,2,4,4,3,3,4,3,1,2
29,AB,1.964305034,-0.932900408,0.706783009,-0.733426427,0.390557766,-0.970141484,-0.308966698,-1.60923062,0.316754612,1.350596814,1.07435001,-0.194275995,0.738396234,0.748747013,1.217614272,-1.841147631,1.027727927,4,2,3,3,3,3,3,1,3
